STATISTIC,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1997 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",160
Vehicles Licensed for the First Time,1997 June,Secondhand Vehicles,4120
Vehicles Licensed for the First Time,1997 June,Secondhand Private Cars,3132
Vehicles Licensed for the First Time,1997 June,Secondhand Goods Vehicles,342
Vehicles Licensed for the First Time,1997 June,Secondhand Tractors,294
Vehicles Licensed for the First Time,1997 June,Secondhand Other Vehicles,352
Vehicles Licensed for the First Time,1997 June,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 July,All Vehicles,18784
Vehicles Licensed for the First Time,1997 July,New Vehicles,14036
Vehicles Licensed for the First Time,1997 July,New Private Cars,11420
Vehicles Licensed for the First Time,1997 July,New Goods Vehicles,1831
Vehicles Licensed for the First Time,1997 July,New Tractors,157
Vehicles Licensed for the First Time,1997 July,New Motor Cycles,283
Vehicles Licensed for the First Time,1997 July,New Exempt Vehicles,175
Vehicles Licensed for the First Time,1997 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",170
Vehicles Licensed for the First Time,1997 July,Secondhand Vehicles,4748
Vehicles Licensed for the First Time,1997 July,Secondhand Private Cars,3635
Vehicles Licensed for the First Time,1997 July,Secondhand Goods Vehicles,414
Vehicles Licensed for the First Time,1997 July,Secondhand Tractors,279
Vehicles Licensed for the First Time,1997 July,Secondhand Other Vehicles,420
Vehicles Licensed for the First Time,1997 July,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 August,All Vehicles,14090
Vehicles Licensed for the First Time,1997 August,New Vehicles,9886
Vehicles Licensed for the First Time,1997 August,New Private Cars,7870
Vehicles Licensed for the First Time,1997 August,New Goods Vehicles,1390
Vehicles Licensed for the First Time,1997 August,New Tractors,132
Vehicles Licensed for the First Time,1997 August,New Motor Cycles,230
Vehicles Licensed for the First Time,1997 August,New Exempt Vehicles,158
Vehicles Licensed for the First Time,1997 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",106
Vehicles Licensed for the First Time,1997 August,Secondhand Vehicles,4204
Vehicles Licensed for the First Time,1997 August,Secondhand Private Cars,3289
Vehicles Licensed for the First Time,1997 August,Secondhand Goods Vehicles,343
Vehicles Licensed for the First Time,1997 August,Secondhand Tractors,237
Vehicles Licensed for the First Time,1997 August,Secondhand Other Vehicles,335
Vehicles Licensed for the First Time,1997 August,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 September,All Vehicles,12807
Vehicles Licensed for the First Time,1997 September,New Vehicles,8366
Vehicles Licensed for the First Time,1997 September,New Private Cars,6340
Vehicles Licensed for the First Time,1997 September,New Goods Vehicles,1369
Vehicles Licensed for the First Time,1997 September,New Tractors,144
Vehicles Licensed for the First Time,1997 September,New Motor Cycles,232
Vehicles Licensed for the First Time,1997 September,New Exempt Vehicles,154
Vehicles Licensed for the First Time,1997 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",127
Vehicles Licensed for the First Time,1997 September,Secondhand Vehicles,4441
Vehicles Licensed for the First Time,1997 September,Secondhand Private Cars,3454
Vehicles Licensed for the First Time,1997 September,Secondhand Goods Vehicles,377
Vehicles Licensed for the First Time,1997 September,Secondhand Tractors,238
Vehicles Licensed for the First Time,1997 September,Secondhand Other Vehicles,372
Vehicles Licensed for the First Time,1997 September,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 October,All Vehicles,13549
Vehicles Licensed for the First Time,1997 October,New Vehicles,8961
Vehicles Licensed for the First Time,1997 October,New Private Cars,6869
Vehicles Licensed for the First Time,1997 October,New Goods Vehicles,1423
Vehicles Licensed for the First Time,1997 October,New Tractors,143
Vehicles Licensed for the First Time,1997 October,New Motor Cycles,240
Vehicles Licensed for the First Time,1997 October,New Exempt Vehicles,149
Vehicles Licensed for the First Time,1997 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",137
Vehicles Licensed for the First Time,1997 October,Secondhand Vehicles,4588
Vehicles Licensed for the First Time,1997 October,Secondhand Private Cars,3538
Vehicles Licensed for the First Time,1997 October,Secondhand Goods Vehicles,462
Vehicles Licensed for the First Time,1997 October,Secondhand Tractors,235
Vehicles Licensed for the First Time,1997 October,Secondhand Other Vehicles,353
Vehicles Licensed for the First Time,1997 October,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 November,All Vehicles,12819
Vehicles Licensed for the First Time,1997 November,New Vehicles,8424
Vehicles Licensed for the First Time,1997 November,New Private Cars,6777
Vehicles Licensed for the First Time,1997 November,New Goods Vehicles,1120
Vehicles Licensed for the First Time,1997 November,New Tractors,112
Vehicles Licensed for the First Time,1997 November,New Motor Cycles,179
Vehicles Licensed for the First Time,1997 November,New Exempt Vehicles,121
Vehicles Licensed for the First Time,1997 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",115
Vehicles Licensed for the First Time,1997 November,Secondhand Vehicles,4395
Vehicles Licensed for the First Time,1997 November,Secondhand Private Cars,3380
Vehicles Licensed for the First Time,1997 November,Secondhand Goods Vehicles,421
Vehicles Licensed for the First Time,1997 November,Secondhand Tractors,256
Vehicles Licensed for the First Time,1997 November,Secondhand Other Vehicles,338
Vehicles Licensed for the First Time,1997 November,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1997 December,All Vehicles,11349
Vehicles Licensed for the First Time,1997 December,New Vehicles,7562
Vehicles Licensed for the First Time,1997 December,New Private Cars,6637
Vehicles Licensed for the First Time,1997 December,New Goods Vehicles,614
Vehicles Licensed for the First Time,1997 December,New Tractors,63
Vehicles Licensed for the First Time,1997 December,New Motor Cycles,138
Vehicles Licensed for the First Time,1997 December,New Exempt Vehicles,51
Vehicles Licensed for the First Time,1997 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",59
Vehicles Licensed for the First Time,1997 December,Secondhand Vehicles,3787
Vehicles Licensed for the First Time,1997 December,Secondhand Private Cars,3008
Vehicles Licensed for the First Time,1997 December,Secondhand Goods Vehicles,355
Vehicles Licensed for the First Time,1997 December,Secondhand Tractors,202
Vehicles Licensed for the First Time,1997 December,Secondhand Other Vehicles,222
Vehicles Licensed for the First Time,1997 December,Secondhand Motor Cycles,NA
Vehicles Licensed for the First Time,1998 January,All Vehicles,24484
Vehicles Licensed for the First Time,1998 January,New Vehicles,20608
Vehicles Licensed for the First Time,1998 January,New Private Cars,17192
Vehicles Licensed for the First Time,1998 January,New Goods Vehicles,2518
Vehicles Licensed for the First Time,1998 January,New Tractors,219
Vehicles Licensed for the First Time,1998 January,New Motor Cycles,268
Vehicles Licensed for the First Time,1998 January,New Exempt Vehicles,218
Vehicles Licensed for the First Time,1998 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",193
Vehicles Licensed for the First Time,1998 January,Secondhand Vehicles,3876
Vehicles Licensed for the First Time,1998 January,Secondhand Private Cars,2969
Vehicles Licensed for the First Time,1998 January,Secondhand Goods Vehicles,386
Vehicles Licensed for the First Time,1998 January,Secondhand Tractors,218
Vehicles Licensed for the First Time,1998 January,Secondhand Other Vehicles,163
Vehicles Licensed for the First Time,1998 January,Secondhand Motor Cycles,140
Vehicles Licensed for the First Time,1998 February,All Vehicles,22882
Vehicles Licensed for the First Time,1998 February,New Vehicles,18655
Vehicles Licensed for the First Time,1998 February,New Private Cars,15480
Vehicles Licensed for the First Time,1998 February,New Goods Vehicles,2377
Vehicles Licensed for the First Time,1998 February,New Tractors,178
Vehicles Licensed for the First Time,1998 February,New Motor Cycles,223
Vehicles Licensed for the First Time,1998 February,New Exempt Vehicles,206
Vehicles Licensed for the First Time,1998 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",191
Vehicles Licensed for the First Time,1998 February,Secondhand Vehicles,4227
Vehicles Licensed for the First Time,1998 February,Secondhand Private Cars,3244
Vehicles Licensed for the First Time,1998 February,Secondhand Goods Vehicles,434
Vehicles Licensed for the First Time,1998 February,Secondhand Tractors,233
Vehicles Licensed for the First Time,1998 February,Secondhand Other Vehicles,169
Vehicles Licensed for the First Time,1998 February,Secondhand Motor Cycles,147
Vehicles Licensed for the First Time,1998 March,All Vehicles,22232
Vehicles Licensed for the First Time,1998 March,New Vehicles,17987
Vehicles Licensed for the First Time,1998 March,New Private Cars,14703
Vehicles Licensed for the First Time,1998 March,New Goods Vehicles,2366
Vehicles Licensed for the First Time,1998 March,New Tractors,201
Vehicles Licensed for the First Time,1998 March,New Motor Cycles,256
Vehicles Licensed for the First Time,1998 March,New Exempt Vehicles,211
Vehicles Licensed for the First Time,1998 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",250
Vehicles Licensed for the First Time,1998 March,Secondhand Vehicles,4245
Vehicles Licensed for the First Time,1998 March,Secondhand Private Cars,3219
Vehicles Licensed for the First Time,1998 March,Secondhand Goods Vehicles,409
Vehicles Licensed for the First Time,1998 March,Secondhand Tractors,248
Vehicles Licensed for the First Time,1998 March,Secondhand Other Vehicles,172
Vehicles Licensed for the First Time,1998 March,Secondhand Motor Cycles,197
Vehicles Licensed for the First Time,1998 April,All Vehicles,24567
Vehicles Licensed for the First Time,1998 April,New Vehicles,20282
Vehicles Licensed for the First Time,1998 April,New Private Cars,16903
Vehicles Licensed for the First Time,1998 April,New Goods Vehicles,2507
Vehicles Licensed for the First Time,1998 April,New Tractors,207
Vehicles Licensed for the First Time,1998 April,New Motor Cycles,258
Vehicles Licensed for the First Time,1998 April,New Exempt Vehicles,232
Vehicles Licensed for the First Time,1998 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",175
Vehicles Licensed for the First Time,1998 April,Secondhand Vehicles,4285
Vehicles Licensed for the First Time,1998 April,Secondhand Private Cars,3227
Vehicles Licensed for the First Time,1998 April,Secondhand Goods Vehicles,407
Vehicles Licensed for the First Time,1998 April,Secondhand Tractors,246
Vehicles Licensed for the First Time,1998 April,Secondhand Other Vehicles,177
Vehicles Licensed for the First Time,1998 April,Secondhand Motor Cycles,228
Vehicles Licensed for the First Time,1998 May,All Vehicles,23446
Vehicles Licensed for the First Time,1998 May,New Vehicles,19155
Vehicles Licensed for the First Time,1998 May,New Private Cars,15921
Vehicles Licensed for the First Time,1998 May,New Goods Vehicles,2172
Vehicles Licensed for the First Time,1998 May,New Tractors,273
Vehicles Licensed for the First Time,1998 May,New Motor Cycles,296
Vehicles Licensed for the First Time,1998 May,New Exempt Vehicles,254
Vehicles Licensed for the First Time,1998 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",239
Vehicles Licensed for the First Time,1998 May,Secondhand Vehicles,4291
