Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross domestic fixed capital formation - Machinery and Equipment,4075
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross domestic fixed capital formation - Intangible Assets,4853
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3430
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Value of Physical Changes in Stocks,949
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Exports of Goods and Services (excluding Factor Income Flows),76039
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Imports of Goods and Services (excluding Factor Income Flows),-54209
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross Domestic Product at Market Prices,64105
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Net Factor Income from the Rest of the World,-15934
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Gross National Product at Market Prices,48171
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Export of Goods (excluding Factor Income Flows),47458
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Import of Goods (excluding Factor Income Flows),-20523
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Export of Services (excluding Factor Income Flows),28580
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Import of Services (excluding Factor Income Flows),-33686
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Final Domestic Demand,41773
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q1,Total Domestic Demand,42722
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Personal Expenditure on Consumer Goods and Services,22747
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Household & NPISH Final Consumption Expenditure,21512
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6964
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,General Government Expenditure on Goods & Services provided to Households,5471
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,General Government Collective Consumption Expenditure,2728
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,General Government Final Consumption Expenditure,8198
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross Domestic Fixed Capital Formation,13707
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Machinery and Equipment,3826
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross domestic fixed capital formation - Intangible Assets,6400
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3482
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Value of Physical Changes in Stocks,1109
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Exports of Goods and Services (excluding Factor Income Flows),78155
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Imports of Goods and Services (excluding Factor Income Flows),-58952
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross Domestic Product at Market Prices,64272
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Net Factor Income from the Rest of the World,-11065
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Gross National Product at Market Prices,53207
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Export of Goods (excluding Factor Income Flows),48254
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Import of Goods (excluding Factor Income Flows),-21261
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Export of Services (excluding Factor Income Flows),29901
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Import of Services (excluding Factor Income Flows),-37691
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Final Domestic Demand,43418
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q2,Total Domestic Demand,44527
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Personal Expenditure on Consumer Goods and Services,23122
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Household & NPISH Final Consumption Expenditure,21893
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6948
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,General Government Expenditure on Goods & Services provided to Households,5456
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,General Government Collective Consumption Expenditure,2721
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,General Government Final Consumption Expenditure,8177
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross Domestic Fixed Capital Formation,14600
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Machinery and Equipment,4000
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross domestic fixed capital formation - Intangible Assets,7099
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3501
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Value of Physical Changes in Stocks,1515
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Exports of Goods and Services (excluding Factor Income Flows),81977
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Imports of Goods and Services (excluding Factor Income Flows),-61608
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross Domestic Product at Market Prices,66410
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Net Factor Income from the Rest of the World,-17759
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Gross National Product at Market Prices,48650
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Export of Goods (excluding Factor Income Flows),51089
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Import of Goods (excluding Factor Income Flows),-22013
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Export of Services (excluding Factor Income Flows),30888
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Import of Services (excluding Factor Income Flows),-39594
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Final Domestic Demand,44670
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q3,Total Domestic Demand,46185
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Personal Expenditure on Consumer Goods and Services,23331
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Household & NPISH Final Consumption Expenditure,22088
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7174
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,General Government Expenditure on Goods & Services provided to Households,5620
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,General Government Collective Consumption Expenditure,2797
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,General Government Final Consumption Expenditure,8417
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross Domestic Fixed Capital Formation,22598
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Machinery and Equipment,3850
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross domestic fixed capital formation - Intangible Assets,14996
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3752
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Value of Physical Changes in Stocks,1366
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Exports of Goods and Services (excluding Factor Income Flows),84354
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Imports of Goods and Services (excluding Factor Income Flows),-69616
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross Domestic Product at Market Prices,68808
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Net Factor Income from the Rest of the World,-17067
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Gross National Product at Market Prices,51741
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Export of Goods (excluding Factor Income Flows),53098
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Import of Goods (excluding Factor Income Flows),-22107
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Export of Services (excluding Factor Income Flows),31255
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Import of Services (excluding Factor Income Flows),-47509
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Final Domestic Demand,53103
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2015Q4,Total Domestic Demand,54469
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Personal Expenditure on Consumer Goods and Services,24116
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Household & NPISH Final Consumption Expenditure,22847
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7260
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,General Government Expenditure on Goods & Services provided to Households,5688
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,General Government Collective Consumption Expenditure,2841
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,General Government Final Consumption Expenditure,8529
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross Domestic Fixed Capital Formation,19458
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Machinery and Equipment,4840
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross domestic fixed capital formation - Intangible Assets,11002
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3615
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Value of Physical Changes in Stocks,-102
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Exports of Goods and Services (excluding Factor Income Flows),81651
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Imports of Goods and Services (excluding Factor Income Flows),-67457
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross Domestic Product at Market Prices,65106
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Net Factor Income from the Rest of the World,-10855
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Gross National Product at Market Prices,54251
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Export of Goods (excluding Factor Income Flows),49715
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Import of Goods (excluding Factor Income Flows),-21786
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Export of Services (excluding Factor Income Flows),31936
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Import of Services (excluding Factor Income Flows),-45671
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Final Domestic Demand,50834
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q1,Total Domestic Demand,50732
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Personal Expenditure on Consumer Goods and Services,23931
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Household & NPISH Final Consumption Expenditure,22634
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7258
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,General Government Expenditure on Goods & Services provided to Households,5711
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,General Government Collective Consumption Expenditure,2844
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,General Government Final Consumption Expenditure,8555
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross Domestic Fixed Capital Formation,24363
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Machinery and Equipment,4703
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross domestic fixed capital formation - Intangible Assets,15546
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4114
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Value of Physical Changes in Stocks,452
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Exports of Goods and Services (excluding Factor Income Flows),79536
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Imports of Goods and Services (excluding Factor Income Flows),-71900
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross Domestic Product at Market Prices,64774
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Net Factor Income from the Rest of the World,-10924
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Gross National Product at Market Prices,53850
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Export of Goods (excluding Factor Income Flows),47149
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Import of Goods (excluding Factor Income Flows),-22716
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Export of Services (excluding Factor Income Flows),32387
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Import of Services (excluding Factor Income Flows),-49183
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Final Domestic Demand,55552
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q2,Total Domestic Demand,56004
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Personal Expenditure on Consumer Goods and Services,24019
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Household & NPISH Final Consumption Expenditure,22671
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7377
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,General Government Expenditure on Goods & Services provided to Households,5814
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,General Government Collective Consumption Expenditure,2911
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,General Government Final Consumption Expenditure,8725
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross Domestic Fixed Capital Formation,23058
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Machinery and Equipment,5191
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross domestic fixed capital formation - Intangible Assets,13549
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4318
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Value of Physical Changes in Stocks,-247
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Exports of Goods and Services (excluding Factor Income Flows),82504
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Imports of Goods and Services (excluding Factor Income Flows),-70371
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross Domestic Product at Market Prices,66680
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Net Factor Income from the Rest of the World,-14416
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Gross National Product at Market Prices,52264
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Export of Goods (excluding Factor Income Flows),46981
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Import of Goods (excluding Factor Income Flows),-21284
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Export of Services (excluding Factor Income Flows),35522
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Import of Services (excluding Factor Income Flows),-49087
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Final Domestic Demand,54454
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q3,Total Domestic Demand,54207
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Personal Expenditure on Consumer Goods and Services,24436
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Household & NPISH Final Consumption Expenditure,23162
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7495
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,General Government Expenditure on Goods & Services provided to Households,5844
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,General Government Collective Consumption Expenditure,2925
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,General Government Final Consumption Expenditure,8769
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross Domestic Fixed Capital Formation,29715
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Machinery and Equipment,4967
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross domestic fixed capital formation - Intangible Assets,20378
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4369
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Value of Physical Changes in Stocks,4123
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Exports of Goods and Services (excluding Factor Income Flows),83994
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Imports of Goods and Services (excluding Factor Income Flows),-76892
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross Domestic Product at Market Prices,72260
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Net Factor Income from the Rest of the World,-14732
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Gross National Product at Market Prices,57527
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Export of Goods (excluding Factor Income Flows),48413
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Import of Goods (excluding Factor Income Flows),-21478
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Export of Services (excluding Factor Income Flows),35581
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Import of Services (excluding Factor Income Flows),-55414
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Final Domestic Demand,61645
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2016Q4,Total Domestic Demand,65768
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Personal Expenditure on Consumer Goods and Services,24872
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Household & NPISH Final Consumption Expenditure,23512
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7555
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,General Government Expenditure on Goods & Services provided to Households,6009
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,General Government Collective Consumption Expenditure,2907
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,General Government Final Consumption Expenditure,8915
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross Domestic Fixed Capital Formation,15835
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Dwellings,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Improvements,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Transfer Costs,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Machinery and Equipment,6138
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross domestic fixed capital formation - Intangible Assets,5094
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",4603
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Value of Physical Changes in Stocks,-7
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Exports of Goods and Services (excluding Factor Income Flows),86536
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Imports of Goods and Services (excluding Factor Income Flows),-63418
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross Domestic Product at Market Prices,71138
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Net Factor Income from the Rest of the World,-14867
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Gross National Product at Market Prices,56271
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Statistical Discrepancy,NA
Expenditure on GNP at Current Market Prices (Seasonally Adjusted),2017Q1,Export of Goods (excluding Factor Income Flows),48168
