Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices,1995Q4,Net Factor Income from the Rest of the World,-1498
Expenditure on GNP at Current Market Prices,1995Q4,Gross National Product at Market Prices,12566
Expenditure on GNP at Current Market Prices,1995Q4,Statistical Discrepancy,-218
Expenditure on GNP at Current Market Prices,1995Q4,Export of Goods (excluding Factor Income Flows),9595
Expenditure on GNP at Current Market Prices,1995Q4,Import of Goods (excluding Factor Income Flows),-7212
Expenditure on GNP at Current Market Prices,1995Q4,Export of Services (excluding Factor Income Flows),1377
Expenditure on GNP at Current Market Prices,1995Q4,Import of Services (excluding Factor Income Flows),-2380
Expenditure on GNP at Current Market Prices,1995Q4,Final Domestic Demand,12872
Expenditure on GNP at Current Market Prices,1995Q4,Total Domestic Demand,12902
Expenditure on GNP at Current Market Prices,1996Q1,Personal Expenditure on Consumer Goods and Services,7514
Expenditure on GNP at Current Market Prices,1996Q1,Household & NPISH Final Consumption Expenditure,7514
Expenditure on GNP at Current Market Prices,1996Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2324
Expenditure on GNP at Current Market Prices,1996Q1,General Government Expenditure on Goods & Services provided to Households,1436
Expenditure on GNP at Current Market Prices,1996Q1,General Government Collective Consumption Expenditure,888
Expenditure on GNP at Current Market Prices,1996Q1,General Government Final Consumption Expenditure,2324
Expenditure on GNP at Current Market Prices,1996Q1,Gross Domestic Fixed Capital Formation,2944
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Dwellings,529
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Improvements,216
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Other Building and Construction,639
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Transfer Costs,98
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Machinery and Equipment,1192
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,15
Expenditure on GNP at Current Market Prices,1996Q1,Gross domestic fixed capital formation - Intangible Assets,270
Expenditure on GNP at Current Market Prices,1996Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1996Q1,Value of Physical Changes in Stocks,270
Expenditure on GNP at Current Market Prices,1996Q1,Exports of Goods and Services (excluding Factor Income Flows),11024
Expenditure on GNP at Current Market Prices,1996Q1,Imports of Goods and Services (excluding Factor Income Flows),-9497
Expenditure on GNP at Current Market Prices,1996Q1,Gross Domestic Product at Market Prices,14611
Expenditure on GNP at Current Market Prices,1996Q1,Net Factor Income from the Rest of the World,-1780
Expenditure on GNP at Current Market Prices,1996Q1,Gross National Product at Market Prices,12831
Expenditure on GNP at Current Market Prices,1996Q1,Statistical Discrepancy,32
Expenditure on GNP at Current Market Prices,1996Q1,Export of Goods (excluding Factor Income Flows),9554
Expenditure on GNP at Current Market Prices,1996Q1,Import of Goods (excluding Factor Income Flows),-6934
Expenditure on GNP at Current Market Prices,1996Q1,Export of Services (excluding Factor Income Flows),1469
Expenditure on GNP at Current Market Prices,1996Q1,Import of Services (excluding Factor Income Flows),-2562
Expenditure on GNP at Current Market Prices,1996Q1,Final Domestic Demand,12782
Expenditure on GNP at Current Market Prices,1996Q1,Total Domestic Demand,13052
Expenditure on GNP at Current Market Prices,1996Q2,Personal Expenditure on Consumer Goods and Services,7760
Expenditure on GNP at Current Market Prices,1996Q2,Household & NPISH Final Consumption Expenditure,7616
Expenditure on GNP at Current Market Prices,1996Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2356
Expenditure on GNP at Current Market Prices,1996Q2,General Government Expenditure on Goods & Services provided to Households,1545
Expenditure on GNP at Current Market Prices,1996Q2,General Government Collective Consumption Expenditure,955
Expenditure on GNP at Current Market Prices,1996Q2,General Government Final Consumption Expenditure,2500
Expenditure on GNP at Current Market Prices,1996Q2,Gross Domestic Fixed Capital Formation,3053
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Dwellings,553
